company_id,company_name,domain,website,company_type,source,source_url,country,hq_city,hq_region,hq_regions,hq_full_address,headcount_bucket,headcount_min,headcount_max,revenue_bucket,revenue_min,revenue_max,industries_or_category,primary_industry,description,founded_year,linkedin_url,facebook_url,twitter_url,instagram_url,last_funding_type,last_funding_amount,last_funding_date,founders,num_founders,cb_rank,growth_score_tier,operating_status,min_project_size,hourly_rate,rating,review_count,priority_score,notes
c0284,lakeFS,lakefs.io,https://lakefs.io/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/treeverse,US,Santa Monica,California,"Greater Los Angeles Area , West Coast , Western US",,11-50,11,50,,,,"Analytics , Big Data , Information Technology , Open Source , Software",,"lakeFS is an open source data version control for data lakes. It enables zero copy Dev / Test isolated environments, continuous quality validation, atomic rollback on bad data, reproducibility, and more. Managing a data lake without a data version control system is error prone and labor intensive. With lakeFS, your data lake is version controlled and you can easily time-travel between consistent snapshots of the lake. lakeFS was established in January, 2020 in CA, USA",2020,https://www.linkedin.com/company/34950406/admin,,,,Series B,"$20,000,000","Jul 29, 2025","Einat Orr , Oz Katz",2.0,"6,361",Low,Active,,,,,3,
c0285,Ketryx,ketryx.com,http://www.ketryx.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/ketryx,US,Cambridge,Massachusetts,"Greater Boston Area , East Coast , New England",,51-100,51,100,,,,"Artificial Intelligence (AI) , Business Process Automation (BPA) , Compliance , Medical Device , SaaS , Software",Artificial Intelligence (AI),"Ketryx provides an AI-powered compliance platform for regulated product development in the life sciences industry. It automates documentation generation, ensures traceability, and enforces quality management procedures. The platform integrates with tools like Jira and GitHub to generate submission-ready documents directly from active development workflows. Ketryx's AI agents detect compliance gaps, suggest actions, and automate routine processes while retaining human oversight. Ketryx helps teams in regulated industries and use their preferred tools.",2021,https://www.linkedin.com/company/ketryx,,,,Series B,"$39,000,000","Sep 4, 2025","Erez Kaminski , Jan Pöschko",2.0,"6,480",Low,Active,,,,,3,
c0286,Barndoor AI,barndoor.ai,https://barndoor.ai/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/barndoor-ai,US,New York,New York,"Greater New York Area , East Coast , Northeastern US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Data Governance , Identity Management , SaaS , Security",,"Barndoor AI is an enterprise infrastructure firm that focuses on securing and governing AI agents. The startup positions itself as a control plane for AI agents, assisting organizations in managing how AI agents access data, systems, and resources. Barndoor provides enterprise-level access, visibility, and security for AI systems and agents via MCP connections.",2024,https://www.linkedin.com/company/barndoor-ai,https://www.facebook.com/profile.php,,,Seed,"$13,600,000","May 19, 2025","Chris Lippi , Kirsten Spoljaric , Oren Michels , Tim Stacey",4.0,"6,481",High,Active,,,,,3,
c0287,Medsender,medsender.com,https://medsender.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/medsender,US,New York,New York,"Greater New York Area , East Coast , Northeastern US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Health Care , Medical , SaaS , Software",,"Medsender is the workflow automation platform for healthcare operations. Medsender integrates with EHR systems and utilizes AI to automate administrative tasks. The company’s AI Medical Assistant®, MAIRA, revolutionizes patient communication by managing all inbound patient phone calls with accuracy and an authentic human-like voice. Medsender is trusted by thousands of professionals across the entire healthcare ecosystem – medical practices, hospitals, healthcare technology companies, and everyone in between.",2015,https://www.linkedin.com/company/medsender,https://www.facebook.com/medsender,,,Series A,"$5,000,000","Jan 30, 2025","Ammar Khan , Zain Qayyum",2.0,"6,499",Low,Active,,,,,3,
c0288,Fluxx,fluxx.io,http://fluxx.io,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/fluxx,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,51-100,51,100,,,,"Big Data , Enterprise Applications , Enterprise Software , Funding Platform , Information Technology , SaaS , Software",,"Fluxx’s provides a cloud-based platform that powers impact philanthropy. It connects givers and doers, creating capacity, increasing visibility, and improving collaboration for organizations throughout the philanthropy ecosystem. The company was founded in 2010 and is headquartered in San Francisco, California.",2010,https://www.linkedin.com/company/fluxx,https://www.facebook.com/fluxx.io,,,Venture - Series Unknown,"$29,151,376","Apr 14, 2021","Drew Lee , Eric Hansen , Jason Ricci , Kerrin Johnson",4.0,"6,509",Low,Active,,,,,3,
c0289,Storj,storj.io,http://storj.io,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/storj,US,Atlanta,Georgia,"Greater Atlanta Area , East Coast , Southern US",,11-50,11,50,,,,"Cloud Data Services , Cloud Infrastructure , Collaborative Consumption , Software",,"For developers who demand ownership of their data and who want to build with confidence, Storj Decentralized Cloud Storage (DCS) is private by design and secure by default—delivering unparalleled data protection and privacy when compared to traditional centralized cloud object storage alternatives. Storj DCS offers affordable and predictable pricing, S3 compatibility, a robust library of open source technical documentation and familiar development tools—along with a vibrant community of customers—which enables developers to economically and easily learn and leverage decentralized cloud storage technology to take control of their data when building the next great application or service.",2014,https://www.linkedin.com/company/storjlabs,https://www.facebook.com/storjproject,,,Initial Coin Offering,"$30,000,000","Jul 11, 2017","James Prestwich , Jim Lowry , John Quinn , Shawn Wilkinson",4.0,"6,517",Low,Active,,,,,3,
c0290,Rhino,rhino.ai,https://rhino.ai,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/rhino-22f0,US,Washington,District of Columbia,"Washington DC Metro Area , Southern US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Enterprise Software , Software",Artificial Intelligence (AI),Rhino is a AI-driven development platform that enables enterprise application design.,2023,https://www.linkedin.com/company/rhino-ai,,,,Series A,"$50,000,000","Jan 21, 2025","Adam Branch , Harrison Touati",2.0,"6,526",High,Active,,,,,3,
c0291,Veea,veea.com,https://www.veea.com/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/veea-inc,US,New York,New York,"Greater New York Area , East Coast , Northeastern US",,51-100,51,100,,,,"Developer Platform , Developer Tools , Embedded Systems , Enterprise Applications , Enterprise Software , Intelligent Systems , Internet of Things , PaaS , SaaS , Smart Building",,"At Veea, we're dedicated to simplifying the journey towards a smarter, more connected world via Edge Computing. Headquartered in New York City, our team combines deep expertise in content delivery, edge computing, and advanced wireless technologies. With a rich history of innovation and over 100 patents in key tech areas, Veea stands at the forefront of edge computing. We don't just provide technology solutions; but are committed to transforming connectivity from the device edge inwards, reshaping how data is processed, secured, and leveraged for a smarter future.",2014,https://www.linkedin.com/company/veea,,,,Post-IPO Equity,"$3,239,096","Aug 13, 2025","Allen Salmasi , Michael Salmasi",2.0,"6,538",Low,Active,,,,,3,
c0292,Kaito,kaito.ai,https://www.kaito.ai/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/kaitoai,US,Seattle,Washington,"Greater Seattle Area , West Coast , Western US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Cryptocurrency , Information Technology , Machine Learning , Software",,"Kaito is an AI-powered search engine for digital assets. We utilize advanced in-house AI technologies to transform terabytes of information into actionable insights for crypto investors, researchers, developers, and the general public. Our goal is to democratize information in the crypto industry.",2022,https://www.linkedin.com/company/kaitoai,,,,Venture - Series Unknown,,"Aug 1, 2025",Yu Hu,1.0,"6,539",Low,Active,,,,,3,
c0293,Turnstile,turnstile.ai,https://turnstile.ai/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/turnstile-dba4,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,11-50,11,50,,,,"FinTech , SaaS , Software",,"Turnstile is a quote to cash platform that helps sales led B2B SaaS companies automate quoting, billing, and revenue reporting.",2021,https://www.linkedin.com/company/turnstile-co,,,,Series A,"$29,000,000","Feb 5, 2026","Jordan Zamir , Michael Babineau",2.0,"6,555",Low,Active,,,,,3,
c0294,Fathom,fathomhealth.com,https://fathomhealth.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/fathom-4,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,51-100,51,100,,,,"Artificial Intelligence (AI) , Billing , Machine Learning , Medical , Software",Medical,"Fathom develops a coding automation platform that uses artificial intelligence to automatically review incoming charts and offers full-service coding services and comprehensive real-time audits, enabling medical operators to automate their coding and optimize their business.",2016,https://www.linkedin.com/company/fathom-health,https://www.facebook.com/fathomhealth,,,Venture - Series Unknown,,"May 4, 2026","Andrew Lockhart , Christopher Bockman",2.0,"6,581",Low,Active,,,,,3,
c0295,Light Field Lab,lightfieldlab.com,http://www.lightfieldlab.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/light-field-lab-inc,US,San Jose,California,"San Francisco Bay Area , Silicon Valley , West Coast",,11-50,11,50,,,,"Digital Entertainment , Film , Hardware , Industrial Design , Information Technology , Media and Entertainment , Software",,"Light Field Lab is a breakthrough technology startup that builds an innovative holographic ecosystem. It re-creates what optical physics calls a real image for off-screen projected objects by generating a massive number of viewing angles that correctly change with the point of view and location just like in the real world. They enable entirely new business opportunities across consumer and enterprise markets. The company was founded in 2017 by Jon Karafin, Brendan Bevensee, and Ed Ibe, with the single mission to enable a holographic future by building upon the founders’ collective expertise of light field technology innovation. Based in San Jose, CA, Light Field Lab is backed by top-tier venture firms including Khosla Ventures.",2017,https://www.linkedin.com/company/18012509,https://www.facebook.com/lightfieldlab,,,Venture - Series Unknown,,"Aug 31, 2026","Brendan Bevensee , Ed Ibe , Jon Karafin",3.0,"6,592",Low,Active,,,,,3,
c0296,BeyondTrucks,beyondtrucks.com,https://www.beyondtrucks.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/beyondtrucks,US,San Mateo,California,"San Francisco Bay Area , Silicon Valley , West Coast",,51-100,51,100,,,,"Finance , Fleet Management , Logistics , Operating Systems , SaaS , Transportation",,"BeyondTrucks is redefining real-time operations of large private and specialty fleets with a configurable and connected platform for process automation and optimization. Fleets turn to BeyondTrucks to replace legacy software and analog methods to become more efficient and make better decisions. BeyondTrucks is a deeply transformational technology for an industry that has traditionally taken time to adopt innovation, but has arrived at a technological inflection point.",2019,https://www.linkedin.com/company/beyondtrucks,https://www.facebook.com/BeyondTrucks,,,Series A,,"Sep 30, 2024","Hans Galland , Paul Xie",2.0,"6,603",Low,Active,,,,,3,
c0297,JetStream Software,jetstreamsoft.com,https://www.jetstreamsoft.com/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/jetstream-software,US,San Jose,California,"San Francisco Bay Area , Silicon Valley , West Coast",,11-50,11,50,,,,"Data Management , Internet , Software",,"We founded JetStream Software in 2016 to realize a vision of cloud computing with greater agility, resilience, efficiency and performance. Our team collaborates with leading technology developers and cloud service providers to deliver new solutions that precisely address the requirements of a true cloud-native infrastructure.",2016,https://www.linkedin.com/company/jetstream-software-inc/about,,,,Series A,"$7,700,000","May 28, 2019","Richard Petersen , Serge Shats , Tom Critser",3.0,"6,608",Low,Active,,,,,3,
c0298,JustPaid,justpaid.ai,https://www.justpaid.ai,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/justpaid-0e67,US,Mountain View,California,"San Francisco Bay Area , Silicon Valley , West Coast",,11-50,11,50,,,,"Artificial Intelligence (AI) , Financial Services , Software",,"The JustPaid platform comprehends, structures, and arranges contracts such as MSAs, POs, order forms, side letters, emails, modifications, and renewals to automate the whole receivables lifecycle, providing a centralized experience to automate and manage customer revenue. The company is based in Silicon Valley, United States.",2022,https://www.linkedin.com/company/justpaid,,,,Venture - Series Unknown,"$1,900,000","Nov 19, 2024","Anelya Grant Janssen , Daniel Kivatinos , Vinay Datta Pinnaka",3.0,"6,614",Low,Active,,,,,3,
c0299,ARwall,arwall.co,http://arwall.co,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/arwall,US,Los Angeles,California,"Greater Los Angeles Area , West Coast , Western US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Computer Vision , Consulting , E-Commerce , Film Production , Generative AI , Media and Entertainment , Software , TV Production",,"ARwall provides AI & XR content production solutions that are simple, fast, and affordable. We're building studio-quality virtual production tools for 500 million creators on desktop and mobile, with a scalable platform and ecosystem model utilizing SaaS, multi-tier subscription, digital product sales, and ecommerce. We started almost 10 years ago as a prestige tech consultancy that patented and has top domain expertise on an alternative to green screen VFX called In-Camera XR Virtual Production or LED Volumes. Our patented invention, ARFX, combines mixed reality, augmented reality, and genAI environments with multi-user support so a team can split the roles of running a production on an LED volume, or alternatively a single creator can shoot and control a complete project in their living room using their smartphone and 4KTV nearly by themselves. It's this extreme level of flexibility and power that changes the paradigm for creators. Our new method is highly automated, and unlike prior tools built for technicians, ours is built for content creators to use directly.​ 8 years ago, we were the first movers in this tech with a mission to free it from the Hollywood labs. We succeeded, first by patenting and bringing to market XR SYNC our foundational 1-click calibration method, and our startup exceeded all expectations. We've shipped 16 software titles, have been awarded 5 patents with 2 more pending, deployed over 150 in-camera XR filmmaking systems; and won an Emmy, Product of the Year awards, and now developed a ground-breaking AI/XR hybrid ecosystem that represents the future of content production for both professional shoots and the creator economy.​ In 2024 and 2025, ARwall won the AI Product of the Year from the National Association of Broadcasters (the trade group composed of TV leadership) two years in a row, becoming the first company to ever do so.",2017,https://www.linkedin.com/company/arwallco,https://www.facebook.com/arwallco,,,Seed,"$980,000","Oct 8, 2021","Eric Navarrette , Jocelyn Hsu Amador , Leon Hui , Rene Amador , William Hellwarth",5.0,"6,629",Low,Active,,,,,3,
c0300,Miter,miter.com,https://www.miter.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/miter-057c,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,51-100,51,100,,,,"Construction , Human Resources , Software",,"Miter provides a human capital management, field operations, and expense management platform for the construction industry. Miter's software streamlines processes such as hiring, payroll, and compliance, providing construction firms with the tools needed to attract and retain talent.",2021,https://www.linkedin.com/company/miterhr,,,,Series B,"$50,000,000","Jul 19, 2025","Connor Watumull , Tobin Paxton",2.0,"6,643",Low,Active,,,,,3,
c0301,IONATE,ionate.energy,https://www.ionate.energy,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/ionate-ltd,UK,Edinburgh,Edinburgh,"Europe, Middle East, and Africa (EMEA)",,11-50,11,50,,,,"Artificial Intelligence (AI) , Electrical Distribution , Energy , Power Grid , Software",,"IONATE is creating the hardware-software system for smart grids. Its Hybrid Intelligent Transformer (HIT) replaces traditional transformers with a smart version, integrating data and control of voltages, harmonics, and reactive power into one unit. The HIT helps stabilize power distribution across grids, power generation, industrial facilities, and data centers, while also supporting real-time control nodes.",2019,https://uk.linkedin.com/company/ionate-energy,,,,Series A,"$17,000,000","Feb 5, 2025","Deshawn O'Neill , Luca Mezossy-Dona , Matthew Williams , Roberto Ricci",4.0,"6,686",Low,Active,,,,,3,
c0302,Near Space Labs,nearspacelabs.com,https://www.nearspacelabs.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/near-space-labs,US,Brooklyn,New York,"Greater New York Area , East Coast , Northeastern US",,11-50,11,50,,,,"Aerospace , Computer Vision , Geospatial , Robotics , Software",,"Near Space Labs provides aerial imagery and earth observation services through a fleet of stratospheric robots. These robots capture high-resolution images, offering valuable insights for various industries. The company focuses on delivering timely and detailed data that supports applications such as construction monitoring, environmental assessments, and business intelligence. By utilizing zero-emission technology, Near Space Labs emphasizes sustainability while meeting the needs of its clients. The imagery produced has a resolution of 7 cm, enabling precise analysis and decision-making for sales teams and other professionals.",2017,https://www.linkedin.com/company/near-space,https://www.facebook.com/nearspacelabs,,,Series B,"$20,000,000","Apr 29, 2025","Albert Domingo , Ignasi Faura , Rema Matevosyan",3.0,"6,688",Low,Active,,,,,3,
c0303,equipifi,equipifi.com,http://www.equipifi.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/equipifi,US,Scottsdale,Arizona,"Greater Phoenix Area , Western US",,11-50,11,50,,,,"Finance , Financial Services , FinTech , Mobile Payments , SaaS , Software",,"equipifi provides buy now, pay later software for financial institutions. The company offers embedded payment and installment lending tools that integrate with digital banking platforms and core banking systems. Its platform enables banks and credit unions to provide pre-qualified financing offers, split-payment options, and short-term installment loans through existing checking accounts and debit cards. equipifi also provides loan management, risk configuration, reporting, and customer engagement tools to support digital payment and lending programs.",2021,https://www.linkedin.com/company/equipifi,,,,Series B,"$34,000,000","May 14, 2026",Bryce Deeney,1.0,"6,695",Low,Active,,,,,3,
c0304,Centari,centari.com,https://www.centari.com/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/centari,US,New York,New York,"Greater New York Area , East Coast , Northeastern US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Knowledge Management , Legal Tech , Software",Artificial Intelligence (AI),"Centari is the platform for Deal Intelligence, combining secure LLMs with trusted precedent to accelerate transactions.",2023,https://www.linkedin.com/company/centariapp,,,,Series A,"$14,000,000","Sep 18, 2025","Bryan Gilbert Davis , Kevin Walker",2.0,"6,702",Low,Active,,,,,3,
c0305,Robust.AI,robust.ai,https://robust.ai,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/robust-ai,US,San Carlos,California,"San Francisco Bay Area , Silicon Valley , West Coast",,11-50,11,50,,,,"Artificial Intelligence (AI) , Robotics , Software , Warehouse Automation",Artificial Intelligence (AI),"Robust.AI has unveiled its first software suite product, Grace, as well as a hardware product concept, Carter. Grace and Carter combine AI, robotics, and human-centered design to improve the way people and robots interact and work together. These technologies will be applied to the warehousing industry where more than 80% of warehouses operate without any automation, while labor shortages continue to wreak havoc on the global supply chain. Robust.AI was established on May 17, 2019 by Anthony Jules in San Carlos, California.",2019,https://www.linkedin.com/company/robust-ai,,,,Series A,"$20,000,000","Apr 20, 2023","Anthony Jules , Gary Marcus , Henrik Christensen , Mohamed Amer , Rodney Brooks",5.0,"6,707",Low,Active,,,,,3,
c0306,ServiceUp,serviceup.com,https://serviceup.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/serviceup,US,Los Gatos,California,"San Francisco Bay Area , Silicon Valley , West Coast",,51-100,51,100,,,,"Automotive , Business Process Automation (BPA) , Fleet Management , SaaS , Service Industry",,"ServiceUp provides an all-in-one platform designed to streamline and automate vehicle repair management. Its services cater to fleets and insurance carriers, offering features for collision, maintenance, and mechanical repairs. The platform centralizes workflows, provides live repair tracking, and aims to reduce repair cycle times.",2020,https://www.linkedin.com/company/serviceupio,https://www.facebook.com/ServiceUpio,,,Series B,"$55,000,000","Jul 9, 2025","Brett Carlson , Brett Dashe , Jaclyn Imani , Javier Muniz",4.0,"6,708",Low,Active,,,,,3,
c0307,Quadric,quadric.ai,https://quadric.ai,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/quadric-io,US,Burlingame,California,"San Francisco Bay Area , West Coast , Western US",,51-100,51,100,,,,"Artificial Intelligence (AI) , Computer , Semiconductor , Software",,"Quadric develops semiconductor intellectual property and tools for on-device artificial intelligence computing. The company creates the Chimera general-purpose neural processing unit family that supports machine learning inference and traditional data processing in a unified architecture. It provides a software development kit and design resources that help chip designers integrate AI capabilities into custom silicon. Quadric engages with developers and hardware teams to support diverse AI workloads across edge devices, automotive systems, and industrial applications.",2016,https://linkedin.com/company/quadric.io,,,,Series C,"$16,000,000","Jul 14, 2026","Daniel Firu , Nigel Drego , Veerbhan Kheterpal",3.0,"6,725",Low,Active,,,,,3,
c0308,Dagster,dagster.io,https://dagster.io,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/dagster,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,51-100,51,100,,,,"Analytics , Artificial Intelligence (AI) , Big Data , Cloud Data Services , Data Integration , Data Management , Information Technology , Software",,"Dagster Labs empowers organization to build a productive and scalable data platform. Dagster Labs is building Dagster, an open-source orchestration platform for the development, production, and observation of data assets.",2018,https://linkedin.com/company/dagsterlabs,,,,Series B,"$33,000,000","May 24, 2023",Nick Schrock,1.0,"6,745",Low,Active,,,,,3,
c0309,Clockwork AI,clockwork.ai,https://clockwork.ai,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/clockwork-b844,US,Boston,Massachusetts,"Greater Boston Area , East Coast , New England",,11-50,11,50,,,,"Artificial Intelligence (AI) , Finance , FinTech , SaaS , Software",,"Clockwork AI delivers an AI-native, Excel‑free Financial Planning & Analysis (FP&A) platform. Their core feature, Mira, is described as an agentic FP&A analyst—an AI-driven assistant that understands your business data and provides insights instantly, without complex prompts or finance expertise.",2018,https://www.linkedin.com/company/clockworkai,https://www.facebook.com/clockworkai,,,Seed,"$2,999,991","Oct 2, 2023",Fady Hawatmeh,1.0,"6,782",Low,Active,,,,,3,
c0310,HockeyStack,hockeystack.com,https://hockeystack.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/hockeystack,US,Middletown,Delaware,"Greater Philadelphia Area , East Coast , Southern US",,51-100,51,100,,,,"Analytics , Business Intelligence , Data Visualization , SaaS , Sales Automation , Software",,"HockeyStack allows marketing teams to drive pipeline efficiently and sales teams to close deals faster with modern attribution, unified buyer journeys, and account insights.",2021,https://www.linkedin.com/company/hockeystack,https://www.facebook.com/hockeystack,,,Venture - Series Unknown,,"Apr 15, 2026","Arda Bulut , Buğra Gündüz , Emir Atlı",3.0,"6,815",Low,Active,,,,,3,
c0311,Evinced,evinced.com,https://www.evinced.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/evinced,US,Palo Alto,California,"San Francisco Bay Area , Silicon Valley , West Coast",,51-100,51,100,,,,"Computer Vision , Information Technology , Quality Assurance , Software",,"Evinced offers end-to-end accessibility automation services to provide enterprises with accessibility into web and mobile development. Its tools enable developers and accessibility professionals to automatically find, cluster, and track accessibility issues, reduce reliance on manual processes, minimize risk, and speed up their time to market.",2018,https://www.linkedin.com/company/evinced,https://www.facebook.com/evincedinc,,,Series C,"$55,000,000","Dec 12, 2024","Gal Moav , Navin Thadani",2.0,"6,819",Low,Active,,,,,3,
c0312,Meticulous,meticulous.ai,https://www.meticulous.ai,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/meticulous,UK,London,England,"Europe, Middle East, and Africa (EMEA)",,11-50,11,50,,,,"Apps , Artificial Intelligence (AI) , Computer , Developer Tools , Information Technology , Software , Wealth Management",,"Meticulous is a developer tools and software testing company that develops an AI-powered automated end-to-end testing platform for web applications. It enables engineering teams to generate, execute, and maintain comprehensive regression tests automatically by observing real user interactions during development. Its platform eliminates the need to manually write and maintain end-to-end tests, helping organizations ship software faster while improving application reliability. The platform records developer and user interactions with web applications, then uses AI to generate and continuously update a deterministic suite of visual, behavioral, and functional end-to-end tests. Meticulous automatically detects regressions, mocks backend network requests to eliminate flaky tests, and integrates with continuous integration (CI) workflows and popular frameworks such as React, Angular, Vue, Next.js, and Svelte. It also supports GitHub, GitLab, Vercel, and other development tools, allowing teams to review the impact of code changes directly within pull requests.",2021,https://www.linkedin.com/company/alwaysmeticulous,,,,Series A,"$15,000,000","Jul 15, 2026","Darragh O'Sullivan , Gabriel Harper , Quentin Spencer-Harper",3.0,"6,953",High,Active,,,,,3,
c0313,Polimorphic,polimorphic.com,https://www.polimorphic.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/polimorphic,US,New York,New York,"Greater New York Area , East Coast , Northeastern US",,11-50,11,50,,,,"Artificial Intelligence (AI) , GovTech , Software",,"Polimorphic is an AI-powered government technology platform that helps local and federal governments automate citizen services. It provides AI chat, voice agents, CRM, and workflow tools to handle public requests and service delivery. The platform improves efficiency by reducing manual work and enabling 24/7 digital access to government services.",2019,https://www.linkedin.com/company/polimorphic,,,,Series A,"$18,636,198","Jun 9, 2025","Daniel Smith , Parth Shah",2.0,"6,955",Low,Active,,,,,3,
c0314,Gray Matter Analytics,graymatteranalytics.com,https://www.graymatteranalytics.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/gray-matter-analytics,US,Chicago,Illinois,"Greater Chicago Area , Great Lakes , Midwestern US",,11-50,11,50,,,,"Analytics , Health Care , SaaS , Software",,"We transform healthcare organizations into data and insights-driven enterprises. We’ve simplified the analytics evolution for healthcare organizations, enabling them to manage business risk as a routine strategy to contain costs, boost revenue and maximize quality. Our CoreTechs® platform supports scalable Analytics as a Service solutions that transform providers and payers into insights-driven enterprises to help them succeed in a value-based care environment. Using predictive and prescriptive analytics, Gray Matter develops evidence-based insights and recommendations that enable healthcare organizations to be proactive in reducing costs, increasing returns and improving outcomes.",2013,https://www.linkedin.com/company/3260446/admin,https://www.facebook.com/GrayMatterAnalytics,,,Seed,"$5,000,000","Nov 3, 2022",Sheila Talton,1.0,"6,957",Low,Active,,,,,3,
c0315,Antaris,antaris.space,https://antaris.space,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/antaris,US,Los Altos,California,"San Francisco Bay Area , Silicon Valley , West Coast",,11-50,11,50,,,,"Aerospace , Information Technology , SaaS , Space Travel",,"Antaris develops cloud-based software platforms that support the design, simulation, and operation of satellite missions. The company provides a unified system that enables organizations to model entire space missions digitally, from early concept through deployment and in-orbit operations. Its core offering, the Antaris Cloud Platform, allows users to design satellites, test configurations, and simulate real-world mission scenarios using digital twin technology before committing to hardware. This approach helps teams evaluate performance, validate decisions, and reduce risks associated with complex space missions.",2021,https://www.linkedin.com/company/antaris-space,,,,Series A,"$28,000,000","Mar 31, 2026","Govindhasamy Karthik , Rupesh Gandupalli , Shankar Sivaprakasam , Thomas Barton",4.0,"6,961",Low,Active,,,,,3,
c0316,Borderless AI,hireborderless.com,https://hireborderless.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/hireborderless,CA,Toronto,Ontario,Great Lakes,,11-50,11,50,,,,"Artificial Intelligence (AI) , Compliance , Employment , Human Resources , Payments , Software",,"Borderless AI is a global payroll solution that leverages the power of generative AI to automate and speed up the process of on-boarding, managing, and paying international team members. Learn more at: hireborderless.ai",2022,https://www.linkedin.com/company/hireborderless,,,,Seed,"$5,000,000","Jan 16, 2025","Sean Aggarwal , Willson Cross",2.0,"6,967",Low,Active,,,,,3,
c0317,"Encycle Technologies, Inc.",encycle.com,https://encycle.com,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/encycle,US,San Marcos,California,"Greater San Diego Area , West Coast , Western US",,11-50,11,50,,,,"Artificial Intelligence (AI) , Business Intelligence , Energy Management , Heating, Ventilation, and Air Conditioning (HVAC) , Intelligent Systems , Machine Learning , Predictive Analytics , Retail Technology , Smart Building , Software",,"Deploying autonomous intelligence and analytics, Encycle improves commercial HVAC management, energy efficiency and building comfort to reduce operating costs and carbon footprint. As the only utility-endorsed HVAC optimization software, our patented machine learning solutions seamlessly integrate into maintenance workflows. Encycle enables multi-site commercial and industrial companies to maximize efficiency and reach sustainability goals by improving energy use and budgetary spend decisions.",2005,https://www.linkedin.com/company/encycle-technologies-inc,,,,Venture - Series Unknown,"$7,500,000","May 12, 2021","Mark Kerbel , Roman Kulyk",2.0,"7,012",High,Active,,,,,3,
c0318,Runway Financial,runway.com,https://runway.com/,B2B SaaS,crunchbase,https://www.crunchbase.com/organization/runway-financial,US,San Francisco,California,"San Francisco Bay Area , West Coast , Western US",,11-50,11,50,,,,"Financial Services , FinTech , Real Time , SaaS , Software",,"Runway provides a strategic planning platform to reinvent how business financials are presented through modern design and engineering. The company's platform helps teams have a clear view of their business by offering an environment for creating financial models, evaluating performance, and aligning teams. It also integrates data from HR, accounting, and data warehouses to provide a single solution for understanding how a business really works, allowing teams to collaborate on strategic plans together.",2020,https://www.linkedin.com/company/runway,,,,Series A,"$27,500,000","Jul 17, 2023","Arya Asemanfar , Siqi Chen",2.0,"7,021",Low,Active,,,,,3,
